StokKodu;StokBarkod;StokAdi
678;8,69053E+12;0TI 18618 TOPKEK LIMONLU 35GR
9579;8,69126E+12;4*4 PORTAKAL 2,5 LT
3255;5,20136E+12;7 DAYS KRUVASAN 72GR
11096;86903387;7 UP 1LT GAZOZ
8875;8,69057E+12;7 UP 2LT GAZOZ
8162;86903370;7 UP 330ML GAZOZ
5100;5,20136E+12;7DAYS 185GR KAKAO KREMALI
5101;5,20136E+12;7DAYS 185GR VISNELI
5102;5,20136E+12;7DAYS 300GR KAKAOLU
11532;4,00581E+12;8*4 DEO 150ML CITY LIFE,HOLLYWOOD
2861;4,00581E+12;8*4 DEO 150ML COOL,MOD.CHARME
11533;4,00581E+12;8*4 DEO 150ML DISCOVERY,S.FEELING
10712;4,00581E+12;8*4 DEO 150ML FRESH,S.KISS
21417;4,0059E+12;8*4 DEO 150ML INSPIRE
21418;4,00581E+12;8*4 DEO 150ML KEY TO LOVE
11534;4,00581E+12;8*4 DEO 150ML LOTUS,INSPIRE
5758;4,00581E+12;8*4 DEO 150ML MARKANT,B.FREE
368;8,69097E+12;8*4 DEO 150ML PARTY FEVER,GLAM UP
21575;4,00581E+12;8*4 DEO 150ML PLAY THE GAME
21576;4,0059E+12;8*4 DEO 150ML SPORT PUDRASIZ
22193;4,0059E+12;8*4 DEO 150ML WOMEN MODERN CHARMR
9713;4,00581E+12;8*4 DEO F.150ML CENTIGRADE,UNITY
6217;4,00581E+12;8*4 DEO F.150ML MAXIMUM,XITE,BEAST
4259;4,00581E+12;8*4 DEO W.150ML END.SUM,URB.SPR
10711;4,00581E+12;8*4 DEO W.150ML LA VIDA LOCA
5752;4,00581E+12;8*4 DEO W.150ML MILD SOFT,FLOWER
749;4,00581E+12;8*4 DEO W.150ML MY STYLE,WILD FLOWER
15336;4,00581E+12;8*4 ROLL ON 250ML MODERN CHARM,HEAVENLY
16299;4,00581E+12;8*4 ROLL ON 50ML MARKANT,CENTIKRADE
4589;4,00581E+12;8*4 ROLL-ON 50 ML PARTY FEVER ,SAT.FEELI
4502;4,00581E+12;8*4 ROLL-ON 50 ML PRO ACT.DISCOVERY
4583;4,00581E+12;8*4 ROLL-ON 50 ML SUMMER ENDL,FORMEN
4398;4,006E+12;8*4 ROLL-ON 50ML MILD,FRESH,INSPIRE
4315;42219095;8*4 ROLL-ON 50ML SWE.SEC,MILD SOFT
103;42219156;8*4 ROLL-ON 50ML UNITY,SOFT KISS,MAX.
4629;4,00581E+12;8*4 STICK 50 ML MAVI FRESH
4591;4,00581E+12;8*4 STICK 50 ML YESIL COOL
5516;2,1E+12;A.B DILIMLI KEK KALIBI BUYUK
19355;8,69746E+12;A.B.BELGRAD DERIN TAVA 24CM
19356;8,69746E+12;A.B.BELGRAD DERIN TAVA 26CM
19354;8,69746E+12;A.B.BELGRAD DERIN TAVA 30CM
5515;2,1E+12;A.B.DILIMLI KEK KALIBI ORTA
19360;8,69746E+12;A.B.SMARLTON BASIK TENCERE NO:24
19361;8,69746E+12;A.B.SMARLTON DERIN TENCERE NO:22
5384;8,69289E+12;A.KILIC 100GR ESKI KASAR
5382;8,69289E+12;A.KILIC 100GR INEK PEYNIR
5383;8,69289E+12;A.KILIC 100GR TULUM PEYNIR
5381;8,69289E+12;A.KILIC 180GR PEYNIR CESITLERI
4328;8,69289E+12;A.KILIC 200GR MAND.ESKI KASAR
4329;8,69289E+12;A.KILIC 250GR IZMIR TULUM
4327;8,69289E+12;A.KILIC 250GR MAND.ESKI KASAR
2961;2710289;A.KILIC FATIH PEYNIR KG
3608;8,69289E+12;A.KILIC KEFIR 1LT LAKTOZSUZ
3607;8,69289E+12;A.KILIC KEFIR 1LT SADE
3610;8,69289E+12;A.KILIC KEFIR 250ML CESITLERI
3609;8,69289E+12;A.KILIC KEFIR 250ML LAKTOZSUZ
3602;8,69289E+12;A.KILIC PEY.3 DLM KLASIK 450GR
3603;8,69289E+12;A.KILIC PEY.3 DLM KOYUN 450GR
3604;8,69289E+12;A.KILIC PEY.3DLM KECI 450GR
3541;8,69289E+12;A.KILIC PEY.500GR KLASIK
3612;8,69289E+12;A.KILIC PEY.CECIL 200GR
3613;8,69289E+12;A.KILIC PEY.DIL 200GR
